Repository,File Name,Class,Start Line,End Line,Displacement,Level
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,26,26,9,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,29,29,5,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,29,29,15,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,31,31,2,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,31,31,22,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,32,32,2,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Special Class Attribute __class__,33,33,9,B2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,33,33,24,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,19,19,53,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,33,33,35,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,5,5,0,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,9,9,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Assignment,19,19,2,A1
